"SubscriptionId","SubscriptionName","ResourceGroup","ServerName","ResourceType","ResourceName","PoolName","DatabaseCount","ServiceTier","SkuName","Capacity","ComputeModel","DtuOrVCore","AvgUtilPercent","AvgOfDailyMaxUtilPercent","CostAmount","Currency","CostPeriod","RecommendedCapacity","RightSizingAction","EstimatedNewCost","PotentialSavings","TierChangeOpportunity","TierChangeSavings","ResourceId"
"9076c224-d371-46f5-8ead-1a5fc17b6a5d","AC-CDNC-GenericDC-PR-001","rg-CDN-PR-001","arlacasqlsvr01","Database","arlacasqldb02","","1","Basic","Basic","5",,"DTU","0","1,57","30,32","DKK","jan. 2026","5","NoChange","30,32","0,00","","0","/subscriptions/9076c224-d371-46f5-8ead-1a5fc17b6a5d/resourceGroups/rg-CDN-PR-001/providers/Microsoft.Sql/servers/arlacasqlsvr01/databases/arlacasqldb02"
"9076c224-d371-46f5-8ead-1a5fc17b6a5d","AC-CDNC-GenericDC-PR-001","rg-CDN-PR-001","arlacasqlsvr01","Database","arlacasqldb01","","1","Basic","Basic","5",,"DTU","0","2,37","30,32","DKK","jan. 2026","5","NoChange","30,32","0,00","","0","/subscriptions/9076c224-d371-46f5-8ead-1a5fc17b6a5d/resourceGroups/rg-CDN-PR-001/providers/Microsoft.Sql/servers/arlacasqlsvr01/databases/arlacasqldb01"
"649a0e9f-c6fa-4e95-acc0-36f781ce40bd","AC-UAEN-GenericDC-PR-001","az-rg-ts-mena-sfa","az-sql-ts-sfa","Database","az-db-ts-mena-sfa","","1","Standard","Standard","20",,"DTU","0","0","218,69","DKK","jan. 2026","10","ScaleDown-Unused","109,34","109,35","","0","/subscriptions/649a0e9f-c6fa-4e95-acc0-36f781ce40bd/resourceGroups/az-rg-ts-mena-sfa/providers/Microsoft.Sql/servers/az-sql-ts-sfa/databases/az-db-ts-mena-sfa"
"55e6226f-9665-4378-9895-81a85299111c","AC-WEU-AFIProductionIT-DE-001","rg-eos-db-de-weu-001","eos-sql-de","ElasticPool","eos-sqlpool-de","eos-sqlpool-de","3","GeneralPurpose","GP_Gen5","2",,"vCore","0","2,4","673,64","DKK","jan. 2026","1","ScaleDown","336,82","336,82","","0","/subscriptions/55e6226f-9665-4378-9895-81a85299111c/resourceGroups/rg-eos-db-de-weu-001/providers/Microsoft.Sql/servers/eos-sql-de/elasticPools/eos-sqlpool-de"
"55e6226f-9665-4378-9895-81a85299111c","AC-WEU-AFIProductionIT-DE-001","rg-weu-afiproductionit-datapool-de-001","sql-weu-afiproductionit-de-001","ElasticPool","sqlep-weu-afiproductionit-de-001","sqlep-weu-afiproductionit-de-001","8","GeneralPurpose","GP_Gen5","2",,"vCore","0,38","1,6","853,67","DKK","jan. 2026","1","ScaleDown","426,84","426,83","","0","/subscriptions/55e6226f-9665-4378-9895-81a85299111c/resourceGroups/rg-weu-afiproductionit-datapool-de-001/providers/Microsoft.Sql/servers/sql-weu-afiproductionit-de-001/elasticPools/sqlep-weu-afiproductionit-de-001"
"aa74e25e-abcb-4120-b2eb-c9072427435e","AC-WEU-AFIProductionIT-PR-001","rg-weu-afiproductionit-datapool-pr-001","sql-weu-afiproductionit-pr-001","ElasticPool","sqlep-weu-afiproductionit-pr-001","sqlep-weu-afiproductionit-pr-001","1","GeneralPurpose","GP_Gen5","2",,"vCore","0","0","828,24","DKK","jan. 2026","1","ScaleDown-Unused","414,12","414,12","","0","/subscriptions/aa74e25e-abcb-4120-b2eb-c9072427435e/resourceGroups/rg-weu-afiproductionit-datapool-pr-001/providers/Microsoft.Sql/servers/sql-weu-afiproductionit-pr-001/elasticPools/sqlep-weu-afiproductionit-pr-001"
"24a99f58-19d4-4bf7-8804-2a4560d2298c","AC-WEU-AFIProductionIT-TS-001","rg-weu-afiproductionit-datapool-ts-001","sql-weu-afiproductionit-ts-001","ElasticPool","sqlep-weu-afiproductionit-ts-001","sqlep-weu-afiproductionit-ts-001","5","GeneralPurpose","GP_Gen5","2",,"vCore","0,01","1,3","833,70","DKK","jan. 2026","1","ScaleDown","416,85","416,85","","0","/subscriptions/24a99f58-19d4-4bf7-8804-2a4560d2298c/resourceGroups/rg-weu-afiproductionit-datapool-ts-001/providers/Microsoft.Sql/servers/sql-weu-afiproductionit-ts-001/elasticPools/sqlep-weu-afiproductionit-ts-001"
